"user_id","test_option","sale_dt","category","orderid","sale_price","gender","age"
19482,0,20200211,3,"12000063168229",1000,"F",40
19482,0,20200211,3,"12000063168229",1000,"F",40
19482,0,20200211,0,"12000063168229",6550,"F",40
19482,0,20200218,8,"12000063664964",20200,"F",40
19482,0,20200218,7,"12000063664964",8010,"F",40
19482,0,20200218,9,"12000063664964",19190,"F",40
19482,0,20200218,9,"12000063664964",5560,"F",40
19482,0,20200218,8,"12000063664964",20200,"F",40
19482,0,20200212,6,"12000063168229",-14160,"F",40
19482,0,20200213,0,"12000063283706",42140,"F",40
19482,0,20200213,9,"12000063336638",8040,"F",40
19482,0,20200224,4,"12000064217441",2660,"F",40
19482,0,20200224,3,"12000064217441",13900,"F",40
19482,0,20200224,5,"12000064216849",9900,"F",40
19482,0,20200224,0,"12000064217441",14790,"F",40
19482,0,20200224,4,"12000064217441",20310,"F",40
19482,0,20200224,2,"12000064216849",6700,"F",40
19482,0,20200224,9,"12000064216849",7200,"F",40
19482,0,20200224,0,"12000064216849",8770,"F",40
19482,0,20200224,3,"12000064217441",12600,"F",40
19482,0,20200224,0,"12000064217441",14790,"F",40
19482,0,20200224,5,"12000064216849",12640,"F",40
19482,0,20200224,5,"12000064217441",11480,"F",40
19482,0,20200224,2,"12000064216849",4880,"F",40
19482,0,20200224,9,"12000064216849",5500,"F",40
19482,0,20200224,5,"12000064216849",13900,"F",40
19482,0,20200224,1,"12000064216849",7110,"F",40
19482,0,20200224,0,"12000064216849",3960,"F",40
19482,0,20200224,1,"12000064216849",19160,"F",40
19482,0,20200224,2,"12000064244863",25800,"F",40
19482,0,20200224,9,"12000064216849",8990,"F",40
19482,0,20200213,0,"12000063283706",8450,"F",40
19482,0,20200213,1,"12000063283706",24150,"F",40
19482,0,20200213,9,"12000063336638",8820,"F",40
19482,0,20200213,0,"12000063336638",8500,"F",40
19462,0,20200224,1,"28000063979813",50560,"F",47
19462,0,20200224,6,"28000063980171",12550,"F",47
19462,0,20200226,6,"28000064179618",2500,"F",47
19462,0,20200226,6,"28000064179618",8800,"F",47
19462,0,20200224,6,"28000063980171",12550,"F",47
19462,0,20200224,6,"28000063980171",12550,"F",47
19462,0,20200226,6,"28000064179618",15800,"F",47
19462,0,20200226,6,"28000064179618",15000,"F",47
19462,0,20200226,7,"28000064179618",-15170,"F",47
19462,0,20200226,7,"28000064179618",15170,"F",47
19462,0,20200226,6,"28000064179618",8800,"F",47
19443,1,20200219,8,"10000063515338",29500,"M",39
19443,1,20200219,8,"10000063515297",-29500,"M",39
19443,1,20200219,8,"10000063515297",29500,"M",39
19411,0,20200221,9,"7000063402543",19900,"M",41
